FIPS,Tract,County,State,pop,n
17031020802,Census Tract 208.02,Cook County,Illinois,8715,5
17031030102,Census Tract 301.02,Cook County,Illinois,3052,12
17031030500,Census Tract 305,Cook County,Illinois,6344,7
17031030800,Census Tract 308,Cook County,Illinois,4236,3
17031031000,Census Tract 310,Cook County,Illinois,3652,12
17031040202,Census Tract 402.02,Cook County,Illinois,7965,12
17031062700,Census Tract 627,Cook County,Illinois,3046,5
17031071000,Census Tract 710,Cook County,Illinois,4525,8
17031071800,Census Tract 718,Cook County,Illinois,2726,18
17031081202,Census Tract 812.02,Cook County,Illinois,3437,10
17031081300,Census Tract 813,Cook County,Illinois,6014,5
17031130300,Census Tract 1303,Cook County,Illinois,5040,3
17031140500,Census Tract 1405,Cook County,Illinois,3171,21
17031160400,Census Tract 1604,Cook County,Illinois,5171,11
17031210502,Census Tract 2105.02,Cook County,Illinois,4412,3
17031210601,Census Tract 2106.01,Cook County,Illinois,2818,4
17031220300,Census Tract 2203,Cook County,Illinois,1998,2
17031230600,Census Tract 2306,Cook County,Illinois,8977,16
17031231100,Census Tract 2311,Cook County,Illinois,1362,2
17031241400,Census Tract 2414,Cook County,Illinois,5584,3
17031250500,Census Tract 2505,Cook County,Illinois,6903,7
17031252101,Census Tract 2521.01,Cook County,Illinois,1492,13
17031280100,Census Tract 2801,Cook County,Illinois,7730,8
17031301701,Census Tract 3017.01,Cook County,Illinois,4205,14
17031310700,Census Tract 3107,Cook County,Illinois,1354,4
17031340300,Census Tract 3403,Cook County,Illinois,1698,10
17031381700,Census Tract 3817,Cook County,Illinois,0,12
17031430600,Census Tract 4306,Cook County,Illinois,2218,14
17031480500,Census Tract 4805,Cook County,Illinois,2725,6
17031491400,Census Tract 4914,Cook County,Illinois,2541,12
17031600600,Census Tract 6006,Cook County,Illinois,2953,10
17031630600,Census Tract 6306,Cook County,Illinois,2746,8
17031650500,Census Tract 6505,Cook County,Illinois,4159,2
17031671100,Census Tract 6711,Cook County,Illinois,915,4
17031691500,Census Tract 6915,Cook County,Illinois,1895,2
17031710900,Census Tract 7109,Cook County,Illinois,2151,15
17031760803,Census Tract 7608.03,Cook County,Illinois,6862,20
17031802300,Census Tract 8023,Cook County,Illinois,5770,5
17031803013,Census Tract 8030.13,Cook County,Illinois,5724,6
17031804102,Census Tract 8041.02,Cook County,Illinois,6865,14
17031804315,Census Tract 8043.15,Cook County,Illinois,2547,9
17031804514,Census Tract 8045.14,Cook County,Illinois,5381,9
17031804610,Census Tract 8046.10,Cook County,Illinois,2684,15
17031804809,Census Tract 8048.09,Cook County,Illinois,4704,10
17031805402,Census Tract 8054.02,Cook County,Illinois,4907,10
17031805501,Census Tract 8055.01,Cook County,Illinois,3518,6
17031806600,Census Tract 8066,Cook County,Illinois,3486,19
17031809402,Census Tract 8094.02,Cook County,Illinois,2713,9
17031809500,Census Tract 8095,Cook County,Illinois,4183,13
17031812000,Census Tract 8120,Cook County,Illinois,5442,9
17031812302,Census Tract 8123.02,Cook County,Illinois,2818,12
17031812700,Census Tract 8127,Cook County,Illinois,2981,8
17031814600,Census Tract 8146,Cook County,Illinois,5956,12
17031816000,Census Tract 8160,Cook County,Illinois,3441,13
17031816800,Census Tract 8168,Cook County,Illinois,5536,7
17031816900,Census Tract 8169,Cook County,Illinois,5907,10
17031817900,Census Tract 8179,Cook County,Illinois,5875,1
17031818700,Census Tract 8187,Cook County,Illinois,3871,12
17031819900,Census Tract 8199,Cook County,Illinois,3257,16
17031822102,Census Tract 8221.02,Cook County,Illinois,4663,18
17031822302,Census Tract 8223.02,Cook County,Illinois,4485,6
17031831000,Census Tract 8310,Cook County,Illinois,2224,4
17031832900,Census Tract 8329,Cook County,Illinois,2092,3
17031835100,Census Tract 8351,Cook County,Illinois,4666,14
17031835500,Census Tract 8355,Cook County,Illinois,1393,9
17031838000,Census Tract 8380,Cook County,Illinois,2671,10
17031843400,Census Tract 8434,Cook County,Illinois,1209,20
17031844700,Census Tract 8447,Cook County,Illinois,1753,9
17043840703,Census Tract 8407.03,Dupage County,Illinois,4483,2
17043841323,Census Tract 8413.23,Dupage County,Illinois,2801,7
17043841326,Census Tract 8413.26,Dupage County,Illinois,3735,5
17043841327,Census Tract 8413.27,Dupage County,Illinois,4109,9
17043841707,Census Tract 8417.07,Dupage County,Illinois,4014,5
17043841801,Census Tract 8418.01,Dupage County,Illinois,5032,8
17043845200,Census Tract 8452,Dupage County,Illinois,4692,8
17043845808,Census Tract 8458.08,Dupage County,Illinois,3424,19
17043845902,Census Tract 8459.02,Dupage County,Illinois,3491,4
17043846004,Census Tract 8460.04,Dupage County,Illinois,3839,18
17043846412,Census Tract 8464.12,Dupage County,Illinois,5066,3
17043846515,Census Tract 8465.15,Dupage County,Illinois,5138,19
17043846517,Census Tract 8465.17,Dupage County,Illinois,5675,16
17089850202,Census Tract 8502.02,Kane County,Illinois,6476,21
17089852406,Census Tract 8524.06,Kane County,Illinois,2658,19
17091010602,Census Tract 106.02,Kankakee County,Illinois,5931,5
17093890502,Census Tract 8905.02,Kendall County,Illinois,4950,9
17097862501,Census Tract 8625.01,Lake County,Illinois,3803,11
17097862604,Census Tract 8626.04,Lake County,Illinois,4567,3
17097862800,Census Tract 8628,Lake County,Illinois,1899,5
17097862901,Census Tract 8629.01,Lake County,Illinois,3760,8
17097863300,Census Tract 8633,Lake County,Illinois,2327,6
17097864305,Census Tract 8643.05,Lake County,Illinois,3917,17
17097864515,Census Tract 8645.15,Lake County,Illinois,2960,2
17097864518,Census Tract 8645.18,Lake County,Illinois,5148,16
17097865300,Census Tract 8653,Lake County,Illinois,3477,16
17111870702,Census Tract 8707.02,McHenry County,Illinois,7751,10
17111870812,Census Tract 8708.12,McHenry County,Illinois,4316,19
17111871114,Census Tract 8711.14,McHenry County,Illinois,3644,7
17197880117,Census Tract 8801.17,Will County,Illinois,3499,14
17197880430,Census Tract 8804.30,Will County,Illinois,4205,20
17197880905,Census Tract 8809.05,Will County,Illinois,3257,5
17197881111,Census Tract 8811.11,Will County,Illinois,2626,12
17197881601,Census Tract 8816.01,Will County,Illinois,2250,17
17197883509,Census Tract 8835.09,Will County,Illinois,4806,14
17031020602,Census Tract 206.02,Cook County,Illinois,5343,19
17031030703,Census Tract 307.03,Cook County,Illinois,3093,14
17031050200,Census Tract 502,Cook County,Illinois,5546,12
17031081201,Census Tract 812.01,Cook County,Illinois,4428,18
17031120400,Census Tract 1204,Cook County,Illinois,3836,19
17031140601,Census Tract 1406.01,Cook County,Illinois,2762,5
17031210602,Census Tract 2106.02,Cook County,Illinois,4362,16
17031231500,Census Tract 2315,Cook County,Illinois,5809,12
17031260300,Census Tract 2603,Cook County,Illinois,1878,17
17031271400,Census Tract 2714,Cook County,Illinois,1359,17
17031280800,Census Tract 2808,Cook County,Illinois,852,10
17031283100,Census Tract 2831,Cook County,Illinois,2729,8
17031283800,Census Tract 2838,Cook County,Illinois,3504,7
17031301600,Census Tract 3016,Cook County,Illinois,3247,1
17031301802,Census Tract 3018.02,Cook County,Illinois,2623,13
17031330103,Census Tract 3301.03,Cook County,Illinois,8471,10
17031381400,Census Tract 3814,Cook County,Illinois,1615,15
17031460400,Census Tract 4604,Cook County,Illinois,3682,16
17031510100,Census Tract 5101,Cook County,Illinois,3639,7
17031550100,Census Tract 5501,Cook County,Illinois,6201,6
17031580400,Census Tract 5804,Cook County,Illinois,4672,14
17031612200,Census Tract 6122,Cook County,Illinois,3687,20
17031630900,Census Tract 6309,Cook County,Illinois,4856,8
17031640400,Census Tract 6404,Cook County,Illinois,3309,10
17031640600,Census Tract 6406,Cook County,Illinois,4427,15
17031700200,Census Tract 7002,Cook County,Illinois,6888,18
17031700401,Census Tract 7004.01,Cook County,Illinois,6218,18
17031710200,Census Tract 7102,Cook County,Illinois,4056,7
